row.number,subject,trial,color,FID,AD,reward.level,shock.level
93,2,45,2,50,40,2,1
94,2,46,1,72,59,2,1
95,2,47,3,31,14,2,1
96,2,48,1,71,59,2,1
97,3,1,3,47,26,1,1
98,3,2,2,36,42,1,1
99,3,3,1,55,69,1,1
100,3,4,2,2,46,1,1
101,3,5,1,76,54,2,1
102,3,6,3,41,7,2,1
103,3,7,2,59,46,2,1
104,3,8,1,64,59,2,1
105,3,9,4,55,41,0,0
106,3,10,4,29,14,0,0
107,3,11,4,25,20,0,0
108,3,12,4,70,54,0,0
109,3,13,2,63,41,2,2
110,3,14,1,29,65,2,2
111,3,15,2,53,35,2,2
112,3,16,3,39,14,2,2
113,3,17,1,64,63,1,2
114,3,18,3,40,3,1,2
115,3,19,2,45,35,1,2
116,3,20,1,66,59,1,2
117,3,21,4,46,41,0,0
118,3,22,4,21,20,0,0
119,3,23,4,26,14,0,0
120,3,24,4,63,54,0,0
121,3,25,2,53,42,2,2
122,3,26,1,66,65,2,2
123,3,27,2,49,41,2,2
124,3,28,3,37,20,2,2
125,3,29,3,27,14,2,1
126,3,30,1,70,65,2,1
127,3,31,2,48,29,2,1
128,3,32,1,66,65,2,1
129,3,33,2,35,41,2,2
130,3,34,3,34,14,2,2
131,3,35,1,51,65,2,2
132,3,36,3,32,14,2,2
133,3,37,4,26,20,0,0
134,3,38,4,50,35,0,0
135,3,39,4,0,50,0,0
136,3,40,4,71,63,0,0
137,3,41,3,35,7,1,2
138,3,42,1,57,71,1,2
139,3,43,2,53,41,1,2
140,3,44,3,32,14,1,2
141,3,45,2,47,40,2,1
142,3,46,1,72,59,2,1
143,3,47,3,25,14,2,1
144,3,48,1,69,59,2,1
145,4,1,3,49,26,1,1
146,4,2,2,36,42,1,1
147,4,3,1,55,69,1,1
148,4,4,2,40,46,1,1
149,4,5,1,48,54,2,1
150,4,6,3,45,7,2,1
151,4,7,2,69,46,2,1
152,4,8,1,70,59,2,1
153,4,9,4,35,41,0,0
154,4,10,4,32,14,0,0
155,4,11,4,32,20,0,0
156,4,12,4,70,54,0,0
157,4,13,2,64,41,2,2
158,4,14,1,69,65,2,2
159,4,15,2,48,35,2,2
160,4,16,3,36,14,2,2
161,4,17,1,71,63,1,2
162,4,18,3,41,3,1,2
163,4,19,2,55,35,1,2
164,4,20,1,68,59,1,2
165,4,21,4,27,41,0,0
166,4,22,4,26,20,0,0
167,4,23,4,30,14,0,0
168,4,24,4,73,54,0,0
169,4,25,2,54,42,2,2
170,4,26,1,70,65,2,2
171,4,27,2,61,41,2,2
172,4,28,3,34,20,2,2
173,4,29,3,32,14,2,1
174,4,30,1,0,65,2,1
175,4,31,2,64,29,2,1
176,4,32,1,73,65,2,1
177,4,33,2,57,41,2,2
178,4,34,3,37,14,2,2
179,4,35,1,71,65,2,2
180,4,36,3,37,14,2,2
181,4,37,4,27,20,0,0
182,4,38,4,57,35,0,0
183,4,39,4,14,50,0,0
184,4,40,4,70,63,0,0
185,4,41,3,43,7,1,2
186,4,42,1,0,71,1,2
187,4,43,2,52,41,1,2
188,4,44,3,38,14,1,2
189,4,45,2,50,40,2,1
190,4,46,1,75,59,2,1
191,4,47,3,31,14,2,1
192,4,48,1,72,59,2,1
193,5,1,3,55,26,1,1
194,5,2,2,67,42,1,1
195,5,3,1,0,69,1,1
196,5,4,2,0,46,1,1
197,5,5,1,72,54,2,1
198,5,6,3,48,7,2,1
199,5,7,2,52,46,2,1
200,5,8,1,65,59,2,1
201,5,9,4,0,41,0,0
202,5,10,4,0,14,0,0
203,5,11,4,0,20,0,0
204,5,12,4,18,54,0,0
205,5,13,2,51,41,2,2
206,5,14,1,51,65,2,2
207,5,15,2,53,35,2,2
208,5,16,3,38,14,2,2
209,5,17,1,67,63,1,2
210,5,18,3,38,3,1,2
211,5,19,2,51,35,1,2
212,5,20,1,69,59,1,2
213,5,21,4,0,41,0,0
214,5,22,4,21,20,0,0
215,5,23,4,27,14,0,0
216,5,24,4,67,54,0,0
217,5,25,2,50,42,2,2
218,5,26,1,0,65,2,2
219,5,27,2,50,41,2,2
220,5,28,3,38,20,2,2
221,5,29,3,29,14,2,1
222,5,30,1,66,65,2,1
223,5,31,2,51,29,2,1
224,5,32,1,21,65,2,1
225,5,33,2,51,41,2,2
226,5,34,3,40,14,2,2
227,5,35,1,44,65,2,2
228,5,36,3,39,14,2,2
229,5,37,4,21,20,0,0
230,5,38,4,21,35,0,0
231,5,39,4,0,50,0,0
232,5,40,4,69,63,0,0
233,5,41,3,34,7,1,2
234,5,42,1,0,71,1,2
235,5,43,2,57,41,1,2
236,5,44,3,31,14,1,2
237,5,45,2,51,40,2,1
238,5,46,1,71,59,2,1
239,5,47,3,24,14,2,1
240,5,48,1,67,59,2,1
241,6,1,3,67,26,1,1
242,6,2,2,68,42,1,1
243,6,3,1,48,69,1,1
244,6,4,2,60,46,1,1
245,6,5,1,72,54,2,1
246,6,6,3,40,7,2,1
247,6,7,2,53,46,2,1
248,6,8,1,65,59,2,1
249,6,9,4,46,41,0,0
250,6,10,4,24,14,0,0
251,6,11,4,28,20,0,0
252,6,12,4,59,54,0,0
253,6,13,2,60,41,2,2
254,6,14,1,59,65,2,2
255,6,15,2,58,35,2,2
256,6,16,3,43,14,2,2
257,6,17,1,71,63,1,2
258,6,18,3,44,3,1,2
259,6,19,2,59,35,1,2
260,6,20,1,70,59,1,2
261,6,21,4,35,41,0,0
262,6,22,4,6,20,0,0
263,6,23,4,24,14,0,0
264,6,24,4,70,54,0,0
265,6,25,2,51,42,2,2
266,6,26,1,69,65,2,2
267,6,27,2,58,41,2,2
268,6,28,3,53,20,2,2
269,6,29,3,32,14,2,1
270,6,30,1,66,65,2,1
271,6,31,2,54,29,2,1
272,6,32,1,44,65,2,1
273,6,33,2,54,41,2,2
274,6,34,3,48,14,2,2
275,6,35,1,70,65,2,2
276,6,36,3,43,14,2,2
277,6,37,4,14,20,0,0
278,6,38,4,41,35,0,0
279,6,39,4,44,50,0,0
280,6,40,4,12,63,0,0
281,6,41,3,41,7,1,2
282,6,42,1,57,71,1,2
283,6,43,2,56,41,1,2
284,6,44,3,49,14,1,2
285,6,45,2,51,40,2,1
286,6,46,1,73,59,2,1
287,6,47,3,30,14,2,1
288,6,48,1,69,59,2,1
289,7,1,3,60,26,1,1
290,7,2,2,64,42,1,1
291,7,3,1,55,69,1,1
292,7,4,2,64,46,1,1
293,7,5,1,71,54,2,1
294,7,6,3,50,7,2,1
295,7,7,2,55,46,2,1
296,7,8,1,64,59,2,1
297,7,9,4,47,41,0,0
298,7,10,4,42,14,0,0
299,7,11,4,24,20,0,0
300,7,12,4,55,54,0,0
301,7,13,2,51,41,2,2
302,7,14,1,66,65,2,2
303,7,15,2,57,35,2,2
304,7,16,3,57,14,2,2
305,7,17,1,57,63,1,2
306,7,18,3,55,3,1,2
307,7,19,2,57,35,1,2
308,7,20,1,71,59,1,2
309,7,21,4,45,41,0,0
310,7,22,4,49,20,0,0
311,7,23,4,33,14,0,0
312,7,24,4,62,54,0,0
313,7,25,2,55,42,2,2
314,7,26,1,69,65,2,2
315,7,27,2,64,41,2,2
316,7,28,3,52,20,2,2
317,7,29,3,35,14,2,1
318,7,30,1,51,65,2,1
319,7,31,2,64,29,2,1
320,7,32,1,69,65,2,1
321,7,33,2,61,41,2,2
322,7,34,3,47,14,2,2
323,7,35,1,71,65,2,2
324,7,36,3,47,14,2,2
325,7,37,4,33,20,0,0
326,7,38,4,54,35,0,0
327,7,39,4,54,50,0,0
328,7,40,4,70,63,0,0
329,7,41,3,54,7,1,2
330,7,42,1,65,71,1,2
331,7,43,2,73,41,1,2
332,7,44,3,51,14,1,2
333,7,45,2,56,40,2,1
334,7,46,1,69,59,2,1
335,7,47,3,35,14,2,1
336,7,48,1,66,59,2,1
337,8,1,3,59,26,1,1
338,8,2,2,59,42,1,1
339,8,3,1,48,69,1,1
340,8,4,2,40,46,1,1
341,8,5,1,72,54,2,1
342,8,6,3,50,7,2,1
343,8,7,2,47,46,2,1
344,8,8,1,45,59,2,1
345,8,9,4,50,41,0,0
346,8,10,4,26,14,0,0
347,8,11,4,6,20,0,0
348,8,12,4,66,54,0,0
349,8,13,2,70,41,2,2
350,8,14,1,69,65,2,2
351,8,15,2,61,35,2,2
352,8,16,3,50,14,2,2
353,8,17,1,27,63,1,2
354,8,18,3,40,3,1,2
355,8,19,2,49,35,1,2
356,8,20,1,69,59,1,2
357,8,21,4,50,41,0,0
358,8,22,4,14,20,0,0
359,8,23,4,22,14,0,0
360,8,24,4,70,54,0,0
361,8,25,2,51,42,2,2
362,8,26,1,51,65,2,2
363,8,27,2,55,41,2,2
364,8,28,3,38,20,2,2
365,8,29,3,29,14,2,1
366,8,30,1,71,65,2,1
367,8,31,2,42,29,2,1
368,8,32,1,51,65,2,1
369,8,33,2,52,41,2,2
370,8,34,3,42,14,2,2
371,8,35,1,77,65,2,2
372,8,36,3,35,14,2,2
373,8,37,4,28,20,0,0
374,8,38,4,48,35,0,0
375,8,39,4,36,50,0,0
376,8,40,4,71,63,0,0
377,8,41,3,45,7,1,2
378,8,42,1,72,71,1,2
379,8,43,2,63,41,1,2
380,8,44,3,43,14,1,2
381,8,45,2,48,40,2,1
382,8,46,1,75,59,2,1
383,8,47,3,35,14,2,1
384,8,48,1,72,59,2,1
385,9,1,3,44,26,1,1
386,9,2,2,28,42,1,1
387,9,3,1,77,69,1,1
388,9,4,2,57,46,1,1
389,9,5,1,69,54,2,1
390,9,6,3,15,7,2,1
391,9,7,2,40,46,2,1
392,9,8,1,64,59,2,1
393,9,9,4,35,41,0,0
394,9,10,4,28,14,0,0
395,9,11,4,30,20,0,0
396,9,12,4,65,54,0,0
397,9,13,2,53,41,2,2
398,9,14,1,75,65,2,2
399,9,15,2,53,35,2,2
400,9,16,3,41,14,2,2
401,9,17,1,49,63,1,2
402,9,18,3,39,3,1,2
403,9,19,2,39,35,1,2
404,9,20,1,79,59,1,2
405,9,21,4,35,41,0,0
406,9,22,4,41,20,0,0
407,9,23,4,50,14,0,0
408,9,24,4,68,54,0,0
409,9,25,2,54,42,2,2
410,9,26,1,79,65,2,2
411,9,27,2,54,41,2,2
412,9,28,3,47,20,2,2
413,9,29,3,32,14,2,1
414,9,30,1,75,65,2,1
415,9,31,2,49,29,2,1
416,9,32,1,78,65,2,1
417,9,33,2,48,41,2,2
418,9,34,3,44,14,2,2
419,9,35,1,70,65,2,2
420,9,36,3,31,14,2,2
421,9,37,4,14,20,0,0
422,9,38,4,48,35,0,0
423,9,39,4,36,50,0,0
424,9,40,4,71,63,0,0
425,9,41,3,43,7,1,2
426,9,42,1,76,71,1,2
427,9,43,2,45,41,1,2
428,9,44,3,43,14,1,2
429,9,45,2,54,40,2,1
430,9,46,1,78,59,2,1
431,9,47,3,38,14,2,1
432,9,48,1,75,59,2,1
433,10,1,3,47,26,1,1
434,10,2,2,21,42,1,1
435,10,3,1,48,69,1,1
436,10,4,2,68,46,1,1
437,10,5,1,48,54,2,1
438,10,6,3,62,7,2,1
439,10,7,2,55,46,2,1
440,10,8,1,38,59,2,1
441,10,9,4,67,41,0,0
442,10,10,4,52,14,0,0
443,10,11,4,39,20,0,0
444,10,12,4,33,54,0,0
445,10,13,2,57,41,2,2
446,10,14,1,36,65,2,2
447,10,15,2,45,35,2,2
448,10,16,3,76,14,2,2
449,10,17,1,49,63,1,2
450,10,18,3,58,3,1,2
451,10,19,2,51,35,1,2
452,10,20,1,45,59,1,2
453,10,21,4,27,41,0,0
454,10,22,4,53,20,0,0
455,10,23,4,48,14,0,0
456,10,24,4,33,54,0,0
457,10,25,2,58,42,2,2
458,10,26,1,51,65,2,2
459,10,27,2,54,41,2,2
460,10,28,3,56,20,2,2
461,10,29,3,46,14,2,1
462,10,30,1,44,65,2,1
463,10,31,2,51,29,2,1
464,10,32,1,51,65,2,1
465,10,33,2,5,41,2,2
466,10,34,3,56,14,2,2
467,10,35,1,51,65,2,2
468,10,36,3,66,14,2,2
469,10,37,4,34,20,0,0
470,10,38,4,51,35,0,0
471,10,39,4,36,50,0,0
472,10,40,4,49,63,0,0
473,10,41,3,68,7,1,2
474,10,42,1,57,71,1,2
475,10,43,2,27,41,1,2
476,10,44,3,49,14,1,2
477,10,45,2,51,40,2,1
478,10,46,1,45,59,2,1
479,10,47,3,47,14,2,1
480,10,48,1,38,59,2,1
481,11,1,3,49,26,1,1
482,11,2,2,32,42,1,1
483,11,3,1,60,69,1,1
484,11,4,2,35,46,1,1
485,11,5,1,45,54,2,1
486,11,6,3,42,7,2,1
487,11,7,2,70,46,2,1
488,11,8,1,73,59,2,1
489,11,9,4,30,41,0,0
490,11,10,4,29,14,0,0
491,11,11,4,34,20,0,0
492,11,12,4,65,54,0,0
493,11,13,2,60,41,2,2
494,11,14,1,68,65,2,2
495,11,15,2,50,35,2,2
496,11,16,3,39,14,2,2
497,11,17,1,66,63,1,2
498,11,18,3,45,3,1,2
499,11,19,2,54,35,1,2
500,11,20,1,69,59,1,2
501,11,21,4,23,41,0,0
502,11,22,4,22,20,0,0
503,11,23,4,33,14,0,0
504,11,24,4,73,54,0,0
505,11,25,2,51,42,2,2
506,11,26,1,65,65,2,2
507,11,27,2,57,41,2,2
508,11,28,3,32,20,2,2
509,11,29,3,34,14,2,1
510,11,30,1,-5,65,2,1
511,11,31,2,62,29,2,1
512,11,32,1,73,65,2,1
513,11,33,2,61,41,2,2
514,11,34,3,39,14,2,2
515,11,35,1,74,65,2,2
516,11,36,3,39,14,2,2
517,11,37,4,27,20,0,0
518,11,38,4,59,35,0,0
519,11,39,4,11,50,0,0
520,11,40,4,69,63,0,0
521,11,41,3,42,7,1,2
522,11,42,1,0,71,1,2
523,11,43,2,54,41,1,2
524,11,44,3,34,14,1,2
525,11,45,2,51,40,2,1
526,11,46,1,75,59,2,1
527,11,47,3,33,14,2,1
528,11,48,1,76,59,2,1
529,12,1,3,-1,26,1,1
530,12,2,2,55,42,1,1
531,12,3,1,54,69,1,1
532,12,4,2,35,46,1,1
533,12,5,1,37,54,2,1
534,12,6,3,69,7,2,1
535,12,7,2,33,46,2,1
536,12,8,1,46,59,2,1
537,12,9,4,52,41,0,0
538,12,10,4,54,14,0,0
539,12,11,4,26,20,0,0
540,12,12,4,35,54,0,0
541,12,13,2,51,41,2,2
542,12,14,1,56,65,2,2
543,12,15,2,50,35,2,2
544,12,16,3,59,14,2,2
545,12,17,1,50,63,1,2
546,12,18,3,64,3,1,2
547,12,19,2,41,35,1,2
548,12,20,1,43,59,1,2
549,12,21,4,45,41,0,0
550,12,22,4,54,20,0,0
551,12,23,4,42,14,0,0
552,12,24,4,44,54,0,0
553,12,25,2,56,42,2,2
554,12,26,1,51,65,2,2
555,12,27,2,49,41,2,2
556,12,28,3,43,20,2,2
557,12,29,3,38,14,2,1
558,12,30,1,54,65,2,1
559,12,31,2,43,29,2,1
560,12,32,1,48,65,2,1
561,12,33,2,63,41,2,2
562,12,34,3,50,14,2,2
563,12,35,1,73,65,2,2
564,12,36,3,51,14,2,2
565,12,37,4,32,20,0,0
566,12,38,4,52,35,0,0
567,12,39,4,31,50,0,0
568,12,40,4,67,63,0,0
569,12,41,3,51,7,1,2
570,12,42,1,53,71,1,2
571,12,43,2,49,41,1,2
572,12,44,3,41,14,1,2
573,12,45,2,30,40,2,1
574,12,46,1,71,59,2,1
575,12,47,3,27,14,2,1
576,12,48,1,75,59,2,1
577,13,1,3,65,26,1,1
578,13,2,2,67,42,1,1
579,13,3,1,56,69,1,1
580,13,4,2,66,46,1,1
581,13,5,1,73,54,2,1
582,13,6,3,46,7,2,1
583,13,7,2,56,46,2,1
584,13,8,1,68,59,2,1
585,13,9,4,50,41,0,0
586,13,10,4,43,14,0,0
587,13,11,4,25,20,0,0
588,13,12,4,55,54,0,0
589,13,13,2,56,41,2,2
590,13,14,1,68,65,2,2
591,13,15,2,56,35,2,2
592,13,16,3,54,14,2,2
593,13,17,1,57,63,1,2
594,13,18,3,58,3,1,2
595,13,19,2,62,35,1,2
596,13,20,1,72,59,1,2
597,13,21,4,47,41,0,0
598,13,22,4,53,20,0,0
599,13,23,4,36,14,0,0
600,13,24,4,59,54,0,0
601,13,25,2,51,42,2,2
602,13,26,1,66,65,2,2
603,13,27,2,61,41,2,2
604,13,28,3,46,20,2,2
605,13,29,3,40,14,2,1
606,13,30,1,54,65,2,1
607,13,31,2,62,29,2,1
608,13,32,1,71,65,2,1
609,13,33,2,65,41,2,2
610,13,34,3,43,14,2,2
611,13,35,1,75,65,2,2
612,13,36,3,49,14,2,2
613,13,37,4,28,20,0,0
614,13,38,4,59,35,0,0
615,13,39,4,51,50,0,0
616,13,40,4,74,63,0,0
617,13,41,3,54,7,1,2
618,13,42,1,67,71,1,2
619,13,43,2,73,41,1,2
620,13,44,3,54,14,1,2
621,13,45,2,54,40,2,1
622,13,46,1,71,59,2,1
623,13,47,3,34,14,2,1
624,13,48,1,64,59,2,1
625,15,1,3,65,26,1,1
626,15,2,2,69,42,1,1
627,15,3,1,48,69,1,1
628,15,4,2,77,46,1,1
629,15,5,1,69,54,2,1
630,15,6,3,63,7,2,1
631,15,7,2,66,46,2,1
632,15,8,1,75,59,2,1
633,15,9,4,71,41,0,0
634,15,10,4,54,14,0,0
635,15,11,4,46,20,0,0
636,15,12,4,67,54,0,0
637,15,13,2,72,41,2,2
638,15,14,1,70,65,2,2
639,15,15,2,74,35,2,2
640,15,16,3,66,14,2,2
641,15,17,1,71,63,1,2
642,15,18,3,49,3,1,2
643,15,19,2,68,35,1,2
644,15,20,1,73,59,1,2
645,15,21,4,69,41,0,0
646,15,22,4,46,20,0,0
647,15,23,4,44,14,0,0
648,15,24,4,68,54,0,0
649,15,25,2,75,42,2,2
650,15,26,1,66,65,2,2
651,15,27,2,68,41,2,2
652,15,28,3,44,20,2,2
653,15,29,3,31,14,2,1
654,15,30,1,66,65,2,1
655,15,31,2,67,29,2,1
656,15,32,1,70,65,2,1
657,15,33,2,61,41,2,2
658,15,34,3,48,14,2,2
659,15,35,1,59,65,2,2
660,15,36,3,59,14,2,2
661,15,37,4,38,20,0,0
662,15,38,4,71,35,0,0
663,15,39,4,70,50,0,0
664,15,40,4,19,63,0,0
665,15,41,3,59,7,1,2
666,15,42,1,50,71,1,2
667,15,43,2,76,41,1,2
668,15,44,3,58,14,1,2
669,15,45,2,75,40,2,1
670,15,46,1,75,59,2,1
671,15,47,3,66,14,2,1
672,15,48,1,77,59,2,1
673,16,1,3,66,26,1,1
674,16,2,2,52,42,1,1
675,16,3,1,55,69,1,1
676,16,4,2,65,46,1,1
677,16,5,1,71,54,2,1
678,16,6,3,43,7,2,1
679,16,7,2,66,46,2,1
680,16,8,1,60,59,2,1
681,16,9,4,46,41,0,0
682,16,10,4,33,14,0,0
683,16,11,4,27,20,0,0
684,16,12,4,68,54,0,0
685,16,13,2,71,41,2,2
686,16,14,1,66,65,2,2
687,16,15,2,57,35,2,2
688,16,16,3,43,14,2,2
689,16,17,1,0,63,1,2
690,16,18,3,42,3,1,2
691,16,19,2,55,35,1,2
692,16,20,1,65,59,1,2
693,16,21,4,35,41,0,0
694,16,22,4,34,20,0,0
695,16,23,4,30,14,0,0
696,16,24,4,67,54,0,0
697,16,25,2,62,42,2,2
698,16,26,1,70,65,2,2
699,16,27,2,61,41,2,2
700,16,28,3,35,20,2,2
701,16,29,3,24,14,2,1
702,16,30,1,70,65,2,1
703,16,31,2,66,29,2,1
704,16,32,1,59,65,2,1
705,16,33,2,58,41,2,2
706,16,34,3,41,14,2,2
707,16,35,1,66,65,2,2
708,16,36,3,77,14,2,2
709,16,37,4,21,20,0,0
710,16,38,4,52,35,0,0
711,16,39,4,55,50,0,0
712,16,40,4,67,63,0,0
713,16,41,3,30,7,1,2
714,16,42,1,50,71,1,2
715,16,43,2,57,41,1,2
716,16,44,3,35,14,1,2
717,16,45,2,46,40,2,1
718,16,46,1,74,59,2,1
719,16,47,3,26,14,2,1
720,16,48,1,30,59,2,1
721,17,1,3,64,26,1,1
722,17,2,2,60,42,1,1
723,17,3,1,73,69,1,1
724,17,4,2,74,46,1,1
725,17,5,1,76,54,2,1
726,17,6,3,75,7,2,1
727,17,7,2,71,46,2,1
728,17,8,1,75,59,2,1
729,17,9,4,60,41,0,0
730,17,10,4,72,14,0,0
731,17,11,4,68,20,0,0
732,17,12,4,69,54,0,0
733,17,13,2,75,41,2,2
734,17,14,1,76,65,2,2
735,17,15,2,76,35,2,2
736,17,16,3,75,14,2,2
737,17,17,1,74,63,1,2
738,17,18,3,78,3,1,2
739,17,19,2,78,35,1,2
740,17,20,1,76,59,1,2
741,17,21,4,65,41,0,0
742,17,22,4,75,20,0,0
743,17,23,4,67,14,0,0
744,17,24,4,69,54,0,0
745,17,25,2,75,42,2,2
746,17,26,1,69,65,2,2
747,17,27,2,76,41,2,2
748,17,28,3,78,20,2,2
749,17,29,3,75,14,2,1
750,17,30,1,75,65,2,1
751,17,31,2,77,29,2,1
752,17,32,1,75,65,2,1
753,17,33,2,78,41,2,2
754,17,34,3,73,14,2,2
755,17,35,1,75,65,2,2
756,17,36,3,73,14,2,2
757,17,37,4,64,20,0,0
758,17,38,4,70,35,0,0
759,17,39,4,66,50,0,0
760,17,40,4,73,63,0,0
761,17,41,3,81,7,1,2
762,17,42,1,76,71,1,2
763,17,43,2,78,41,1,2
764,17,44,3,81,14,1,2
765,17,45,2,61,40,2,1
766,17,46,1,77,59,2,1
767,17,47,3,72,14,2,1
768,17,48,1,78,59,2,1
769,18,1,3,64,26,1,1
770,18,2,2,73,42,1,1
771,18,3,1,48,69,1,1
772,18,4,2,62,46,1,1
773,18,5,1,78,54,2,1
774,18,6,3,46,7,2,1
775,18,7,2,64,46,2,1
776,18,8,1,72,59,2,1
777,18,9,4,20,41,0,0
778,18,10,4,28,14,0,0
779,18,11,4,38,20,0,0
780,18,12,4,48,54,0,0
781,18,13,2,64,41,2,2
782,18,14,1,74,65,2,2
783,18,15,2,66,35,2,2
784,18,16,3,51,14,2,2
785,18,17,1,77,63,1,2
786,18,18,3,42,3,1,2
787,18,19,2,63,35,1,2
788,18,20,1,78,59,1,2
789,18,21,4,47,41,0,0
790,18,22,4,6,20,0,0
791,18,23,4,30,14,0,0
792,18,24,4,71,54,0,0
793,18,25,2,59,42,2,2
794,18,26,1,71,65,2,2
795,18,27,2,58,41,2,2
796,18,28,3,46,20,2,2
797,18,29,3,34,14,2,1
798,18,30,1,70,65,2,1
799,18,31,2,53,29,2,1
800,18,32,1,66,65,2,1
801,18,33,2,57,41,2,2
802,18,34,3,40,14,2,2
803,18,35,1,70,65,2,2
804,18,36,3,41,14,2,2
805,18,37,4,30,20,0,0
806,18,38,4,57,35,0,0
807,18,39,4,0,50,0,0
808,18,40,4,68,63,0,0
809,18,41,3,38,7,1,2
810,18,42,1,65,71,1,2
811,18,43,2,61,41,1,2
812,18,44,3,38,14,1,2
813,18,45,2,59,40,2,1
814,18,46,1,70,59,2,1
815,18,47,3,28,14,2,1
816,18,48,1,68,59,2,1
817,19,1,3,37,26,1,1
818,19,2,2,6,42,1,1
819,19,3,1,48,69,1,1
820,19,4,2,57,46,1,1
821,19,5,1,78,54,2,1
822,19,6,3,30,7,2,1
823,19,7,2,54,46,2,1
824,19,8,1,45,59,2,1
825,19,9,4,0,41,0,0
826,19,10,4,0,14,0,0
827,19,11,4,0,20,0,0
828,19,12,4,0,54,0,0
829,19,13,2,51,41,2,2
830,19,14,1,51,65,2,2
831,19,15,2,52,35,2,2
832,19,16,3,30,14,2,2
833,19,17,1,57,63,1,2
834,19,18,3,39,3,1,2
835,19,19,2,55,35,1,2
836,19,20,1,53,59,1,2
837,19,21,4,0,41,0,0
838,19,22,4,0,20,0,0
839,19,23,4,19,14,0,0
840,19,24,4,63,54,0,0
841,19,25,2,52,42,2,2
842,19,26,1,51,65,2,2
843,19,27,2,59,41,2,2
844,19,28,3,38,20,2,2
845,19,29,3,32,14,2,1
846,19,30,1,29,65,2,1
847,19,31,2,60,29,2,1
848,19,32,1,66,65,2,1
849,19,33,2,53,41,2,2
850,19,34,3,39,14,2,2
851,19,35,1,66,65,2,2
852,19,36,3,38,14,2,2
853,19,37,4,25,20,0,0
854,19,38,4,50,35,0,0
855,19,39,4,36,50,0,0
856,19,40,4,68,63,0,0
857,19,41,3,41,7,1,2
858,19,42,1,57,71,1,2
859,19,43,2,58,41,1,2
860,19,44,3,41,14,1,2
861,19,45,2,51,40,2,1
862,19,46,1,71,59,2,1
863,19,47,3,26,14,2,1
864,19,48,1,69,59,2,1
865,20,1,3,76,26,1,1
866,20,2,2,76,42,1,1
867,20,3,1,55,69,1,1
868,20,4,2,77,46,1,1
869,20,5,1,63,54,2,1
870,20,6,3,66,7,2,1
871,20,7,2,75,46,2,1
872,20,8,1,38,59,2,1
873,20,9,4,67,41,0,0
874,20,10,4,55,14,0,0
875,20,11,4,43,20,0,0
876,20,12,4,63,54,0,0
877,20,13,2,56,41,2,2
